,lead_-6m,lead_-5m,lead_-4m,lead_-3m,lead_-2m,lead_-1m,lead_+0m,lead_+1m,lead_+2m,lead_+3m,lead_+4m,lead_+5m,lead_+6m
Pricing -> CPI YoY,-0.16756108191370703,-0.06160226348220966,-0.1772906927923529,-0.14173124589428263,-0.08866453767900798,-0.07730458322311097,-0.003369587657912726,-0.030134754048744803,-0.0016465256561362124,0.04588651036612085,0.01737080347497904,0.013675656613794544,0.040792177760350185
Pricing -> Core CPI YoY,-0.2936632203276268,-0.17916412855765795,-0.22990117733876814,-0.23282600743282195,-0.19434741280415083,-0.18907453271040858,-0.14105632838152715,-0.17321336169133078,-0.09375302960328673,-0.05282915904549761,-0.05901174473375065,-0.043934343935317546,0.03257159493999885
Labor Pressure -> Unemployment,-0.08792061510159817,0.08978291725435102,-0.02312619493277686,-0.06095076591561625,-0.24229818996174537,-0.16259922099229826,-0.2831835118848698,-0.23842359657929854,-0.3433772189100432,-0.3237122536854423,-0.4237719622630917,-0.4183178156925993,-0.5892735013602556
Growth -> Unemployment,0.3243035799259961,0.32192038151107855,0.3175205342189025,0.4441506327510638,0.3626859936772967,0.3460184893243381,0.3784591758066497,0.4421643017960325,0.3713880231434072,0.3396330127706611,0.35724474896372976,0.250501493369062,0.5042113646450259
Macro Risk -> CPI YoY,-0.26707012668832414,-0.18596244235538842,-0.12315935714894609,-0.08352608841927481,0.01504957225646274,0.05760897958442873,0.08678602220303404,0.11614044358817224,0.12099105000280416,0.16642676107596663,0.2071066399294531,0.1792299947069702,0.14250405362557741
Fed Inflation -> CPI YoY,0.34482454645646493,0.3368000031975779,0.30023066767434353,0.27682538828497133,0.27697392033233253,0.2418620684793758,0.18828647640479287,0.1583724077107328,0.11303437190266886,0.09001186486110879,0.04364270276006105,0.031680798485254506,-0.08106247326523228
