call_month,n_transcripts,n_companies,share_guidance_raised,share_guidance_lowered,share_positive_composite,share_negative_qna_gap,ew_overall_net_tone,tw_overall_net_tone,ew_prepared_net_tone,tw_prepared_net_tone,ew_qa_net_tone,tw_qa_net_tone,ew_management_qa_net_tone,tw_management_qa_net_tone,ew_analyst_question_net_tone,tw_analyst_question_net_tone,ew_demand_net,tw_demand_net,ew_pricing_power_net,tw_pricing_power_net,ew_capex_net,tw_capex_net,ew_supply_chain_pressure_density,tw_supply_chain_pressure_density,ew_labor_pressure_density,tw_labor_pressure_density,ew_automation_density,tw_automation_density,ew_uncertainty_density,tw_uncertainty_density,ew_macro_risk_density,tw_macro_risk_density,ew_growth_signal,tw_growth_signal,ew_margin_signal,tw_margin_signal,ew_credibility_signal,tw_credibility_signal,ew_composite_signal,tw_composite_signal,ew_qna_reality_gap,tw_qna_reality_gap,ew_analyst_management_gap,tw_analyst_management_gap,ew_complexity_score,tw_complexity_score,ew_numeric_token_share,tw_numeric_token_share,ew_composite_signal_rolling_mean4,ew_composite_signal_rolling_z8,ew_growth_signal_rolling_mean4,ew_growth_signal_rolling_z8,ew_margin_signal_rolling_mean4,ew_margin_signal_rolling_z8,ew_macro_risk_density_rolling_mean4,ew_macro_risk_density_rolling_z8,month,CPI,Core_CPI,GDP_YoY_Pct,Unemployment_Rate,cpi_yoy,core_cpi_yoy,cpi_mom_annualized_3m,core_cpi_mom_annualized_3m,unemployment_change_3m,unemployment_change_12m,fed_all_score,fed_sentence_count,fed_document_count,fed_inflation_score,fed_growth_score,fed_labor_score,fed_guidance_score,guidance_balance,cpi_yoy_3m_fwd,core_cpi_yoy_3m_fwd,cpi_yoy_change_3m_fwd,core_cpi_yoy_change_3m_fwd,unemployment_rate_3m_fwd,unemployment_change_3m_fwd,ew_growth_signal_z,ew_margin_signal_z,ew_composite_signal_z,ew_macro_risk_density_z,ew_pricing_power_net_z,ew_labor_pressure_density_z,ew_supply_chain_pressure_density_z,ew_uncertainty_density_z,share_guidance_raised_z,share_guidance_lowered_z,share_positive_composite_z,cpi_yoy_z,core_cpi_yoy_z,Unemployment_Rate_z,fed_inflation_score_z,fed_growth_score_z
2022-08,355,355,0.0901408450704225,0.0732394366197183,0.5605633802816902,0.8028169014084507,0.0077212691087116,0.0076365598215725,0.0100092042677879,0.0106820207331764,0.0039938899008457,0.0047824246249734,0.0043656115323038,0.005221479795187,0.002863577036647,0.0035269865808103,0.0001350279501745,0.0001395544269849,3.07585209027512e-05,1.2640799545734344e-05,0.0007195387961627,0.000780190147963,0.000596033067172,0.0006138372259411,7.193561513738871e-05,7.584479727443317e-05,0.0002228668815077,0.0002386582954235,0.0006359672066171,0.0006123203299956,0.0006357262905165,0.0006638947921422,0.0079401095645323,0.0078924096043783,-0.0004143432798989,-0.0004383829282462,-0.0047775254464445,-0.0043783680536082,0.0027482408381887,0.0030756586225237,-0.0056435927354841,-0.0054605409379893,0.0015020344956567,0.0016944932143767,3.034205569616167,2.8328270900266204,0.0244633958475043,0.022427812186034,,0.0,,0.0,,0.0,,0.0,2022-08-01,295.097,296.535,,3.6,8.222579178218826,6.286089097732228,5.319591579986005,6.266817492978993,0.0,-1.4999999999999996,-0.06558749999999999,42.0,3.0,-0.07123017241379309,-0.00944062499999999,-0.10673611111111109,-0.07384666666666667,0.016901408450704203,7.122856456533988,5.969880665899807,-1.099722721684838,-0.316208431832421,3.6,0.0,-1.2120281082152227,-1.8336735240710176,0.10046507515456932,-0.11382343641649091,0.22827526737416517,2.217512447865037,1.6065101903096528,0.7781397534965857,-0.5584447728683922,0.3090037765479052,-0.05788691333862792,2.73556082114741,1.9751394271409073,-1.0754882027295671,0.1604613162234814,0.17094500167572138
2022-09,93,93,0.1612903225806451,0.0967741935483871,0.4946236559139785,0.8172043010752689,0.0083314077383611,0.007762213824996,0.0108424207605657,0.0108509414725289,0.0041598196706338,0.0048599358387867,0.0042322472768469,0.005019800642697,0.0038177232504667,0.0043347736821284,0.0001938872896945,0.0001644394627863,-2.616082125246806e-06,-6.711814807609471e-06,0.0006957887582731,0.0007064185085004,0.0009280515395456,0.0008238752676335,6.647231493048976e-05,6.544019437414704e-05,0.0005770546504053,0.0005369451846084,0.0006377390057168,0.0005117758790799,0.0008641605691006,0.00091784067494,0.0083569232172282,0.0077152311213428,-0.000420085286196,-0.0003590820922069,-0.0068333884630555,-0.0056578897483431,0.0011034494679766,0.0016982592807928,-0.0066101734837188,-0.0058311408298318,0.0004145240263801,0.0006850269605686,3.052790131104453,2.740198825585169,0.0235450218180608,0.0215197562268861,0.0019258451530827,0.0,0.0081485163908802,0.0,-0.0004172142830474,0.0,0.0007499434298085,0.0,2022-09-01,296.349,298.226,,3.5,8.192106896425821,6.624287624509306,1.9011381380845682,5.802828736380783,-0.10000000000000009,-1.2000000000000002,-0.05918173076923077,65.0,5.0,-0.08706968390804597,-0.01360243055555555,-0.0550280303030303,-0.1177787356321839,0.06451612903225801,6.404600402357152,5.685531944736666,-1.7875064940686691,-0.9387556797726404,3.5,0.0,-0.9351783187457477,-1.8430980305442233,-0.7117976873189538,0.561391786936425,-0.005255655157758765,1.9150134004184505,3.725903629675406,0.7884298959522267,0.4929659273564954,0.9917611334652677,-0.5645505869380775,2.7169831383303644,2.259748477241205,-1.390086792643658,0.06303340534337377,0.14109447102920977
2022-10,151,151,0.1324503311258278,0.0927152317880794,0.4966887417218543,0.9006622516556292,0.0085777740091812,0.0079161437690161,0.0124546311225274,0.0127125793355651,0.0038251896175953,0.0045674149594329,0.0042702249405635,0.0051263353338901,0.0026447856607009,0.0030857480049267,0.0001532229420221,0.000135426729625,0.000116897005252,8.667310696002348e-05,0.0008917434910406,0.0009037477090311,0.000667397427673,0.0007024133043218,5.989550983210781e-05,6.319914049167849e-05,0.0002705111154908,0.0001968201803883,0.0007181781956234,0.0006428255432868,0.0011151937477522,0.0011439044428995,0.0085075466944917,0.0078114137647727,-0.0003398848167622,-0.0004821191574651,-0.0072771450977247,-0.0061884822159984,0.0008905167800047,0.0011408123913091,-0.0081844061819638,-0.0075862440016749,0.0016254392798625,0.0020405873289634,2.793027237562375,2.571092113123433,0.0226897905611024,0.0219174619225178,0.00158073569539,0.0,0.0082681931587507,0.0,-0.0003914377942857,0.0,0.0008716935357898,0.0,2022-10-01,298.007,299.399,1.3,3.6,7.758813957693,6.294999786983246,4.262994488169758,5.972989551867647,0.10000000000000009,-0.8999999999999999,-0.06694814453125,64.0,5.0,-0.05650033783783784,-0.03683078703703703,-0.060821052631578935,-0.08876672794117646,0.039735099337748395,6.327178517960097,5.539533472591773,-1.4316354397329034,-0.755466314391473,3.5,-0.10000000000000009,-0.8351334241031435,-1.7114628834851344,-0.8169522354794692,1.303405747550612,0.8310090197039358,1.5508603789553197,2.0620545953214333,1.255599522178722,0.06678323886616122,0.8740082281900707,-0.5486830052678578,2.4528224549485285,1.9826381670900108,-1.0754882027295671,0.2510636691347817,-0.02551080587830312
2022-11,296,296,0.152027027027027,0.0777027027027027,0.5641891891891891,0.8175675675675675,0.0084648134084783,0.0078375818650611,0.0109011650594965,0.0110773541251499,0.0039137742188305,0.0046670616580234,0.0042986724529477,0.0052155471765498,0.0027377794498087,0.0031999532578781,0.0001166212341329,0.0001051736303951,-1.1600592955414205e-05,-3.273260945972446e-05,0.0009199269387955,0.0009315378692144,0.0005243978869976,0.000506550546393,4.124507847058529e-05,4.561101318157565e-05,0.0002346871029902,0.0002452262708703,0.0006017809332149,0.0005838209687242,0.0006963698846069,0.0006390907846971,0.0088049916967999,0.0082352025799734,-0.0003425564554333,-0.000339667898164,-0.0056433805366247,-0.0044300339986525,0.0028190547047418,0.0034655006831568,-0.0066024926065487,-0.0058618069486,0.0015608930031389,0.0020155939186717,2.9451234648957056,2.6986324665333306,0.0240049763358933,0.0220311925670145,0.001890315447728,1.035558833754705,0.008402392793263,1.2911431839202798,-0.0003792174595726,0.9631730327493248,0.000827862622994,-0.7077192156908282,2022-11-01,298.786,300.325,,3.6,7.122856456533988,5.969880665899807,5.094938191632159,5.2112307888780185,0.0,-0.49999999999999956,-0.037180156250000006,80.0,7.0,-0.05511891025641026,0.012453693181818175,-0.010762500000000012,-0.1100780303030303,0.0743243243243243,5.957820738137087,5.498260329618088,-1.1650357183969007,-0.4716203362817195,3.6,0.0,-0.6375689111963353,-1.7158479145434538,0.1354357516242757,0.06542933677708125,-0.06812265318338033,0.5181992569828825,1.1492370458245775,0.5795948826950937,0.35607766892873194,0.43848579173393193,-0.03002714172965557,2.065105617006798,1.7090360165933793,-1.0754882027295671,0.2595607495743825,0.32798189519382714
2022-12,55,55,0.1454545454545454,0.0909090909090909,0.5454545454545454,0.8,0.0078577901761275,0.0072732503776162,0.0099335107797361,0.0099506488301964,0.004334289737002,0.0050449618412386,0.0048851455260852,0.0056005189442267,0.0026054107494172,0.0033526679293049,0.0001220689501357,8.918938358626186e-05,-0.0002710061668579,-0.0002934618427677,0.0006576349621729,0.0006415881464431,0.0007648420452114,0.0007135150686901,3.7408010291524826e-05,3.4524922678549365e-05,0.0005477119841282,0.0004804718406099,0.0005493206590933,0.0004632093792706,0.000845368366835,0.0007480399913687,0.0077921257216012,0.007255987916277,-0.0005255442382327,-0.0005610299935265,-0.0033179511360762,-0.0025654882503185,0.0039486303472921,0.0041294696724318,-0.0050483652536509,-0.0043501298859697,0.002279734776668,0.0022478510149217,2.8435774701550804,2.545616299820552,0.0230166546545972,0.0213507875997985,0.0021904128250038,1.4325021932637785,0.0083653968325303,-1.317230254892643,-0.000407017699156,-1.7288235502315472,0.0008802731420737,0.0841975757323408,2022-12-01,298.832,301.394,,3.5,6.404600402357152,5.685531944736666,3.3938105412830266,4.317313799240385,0.0,-0.3999999999999999,-0.029489293981481472,36.0,5.0,-0.047579365079365075,-0.013561921296296284,-0.03905833333333331,-0.04478322368421052,0.054545454545454494,4.917719362889961,5.566741392671326,-1.4868810394671916,-0.11879055206533984,3.5,0.0,-1.3103197440466654,-2.016190591698209,0.6932646948308515,0.5058450400615299,-1.8832520476079575,0.30574352048726033,2.6840786701747197,0.27491942932983643,0.2589528874945297,0.8216110023977606,-0.17397926632815444,1.6272147742218221,1.4697439646773183,-1.390086792643658,0.30593605198520674,0.14138502349948845
2023-01,82,82,0.048780487804878,0.0975609756097561,0.5487804878048781,0.926829268292683,0.0092287577973594,0.0084066401211755,0.012948981445206,0.0132349016878352,0.0036659637781143,0.004743791438114,0.0039937348566528,0.0051730583341671,0.0027388795535583,0.0035443844006404,0.0001402693067203,6.133746338919508e-05,0.0001746816158201,6.47451002441489e-05,0.0009990434973456,0.0010393292407614,0.0005296734321065,0.0005792982653424,2.9270637929561483e-05,3.578018697703069e-05,0.0003519737952342,0.0002538689456941,0.0006851428779317,0.0006576739130063,0.000909548663962,0.0010103643274943,0.0094585219374634,0.0084969424978318,-3.22886589816391e-05,-0.0002964644063811,-0.0083855341633905,-0.0070908433331478,0.0010406991150912,0.0011096347583028,-0.0089552465885532,-0.008061843353668,0.0012548553030944,0.0016286739335266,2.812148355385452,2.5645420838585182,0.0265948373923846,0.0246729946483062,0.0021747252367825,-0.9141223567819048,0.0086407965125891,1.7712154101799753,-0.0003100685423524,2.046037509122156,0.000891620165789,0.4214134052866187,2023-01-01,300.42,302.642,2.3,3.5,6.327178517960097,5.539533472591773,3.2784009363718836,4.403584941649807,-0.10000000000000009,-0.5,-0.03569050925925927,54.0,4.0,-0.02732887931034483,0.03277259615384615,-0.008871666666666674,-0.04510265151515152,-0.0487804878048781,4.950079879124369,5.514364195873522,-1.3770986388357276,-0.025169276718250977,3.4,-0.10000000000000009,-0.20349073652668653,-1.2065971919236045,-0.742786283139657,0.6955517422608214,1.2353432196581886,-0.1448170006248144,1.1829127495074128,1.0637390989667932,-1.1696470432978492,1.0145861510474945,-0.14842359126948387,1.5800138714080176,1.3468797793444185,-1.390086792643658,0.4304956082252367,0.4737191305772451
2023-02,283,283,0.0494699646643109,0.0459363957597173,0.6254416961130742,0.8551236749116607,0.0090669917595756,0.0088591279452858,0.0122786823007331,0.0127952055525284,0.0044830071181389,0.0054129141631564,0.0048509901345853,0.005858722602892,0.0035806487739751,0.0043084687162831,0.0001271529193368,0.0001354358523556,7.509428703437299e-05,8.318906287012553e-05,0.0009788051769556,0.0010145007667089,0.0003448836516279,0.0003829740394326,3.8272601094011895e-05,3.500027645145222e-05,0.0005282507810573,0.0004712356061362,0.0005922090902343,0.0005650769270568,0.0005828815320694,0.0005635551759067,0.0095900683237985,0.0094455093884436,0.0002201888153697,0.0001364503531223,-0.0067495598957719,-0.0059513059900843,0.0030606972433963,0.0036306537514816,-0.0074276921661477,-0.0069364829496363,0.0012703413606102,0.0015502538866088,2.80363414321914,2.597524143376954,0.026942700051342,0.0248293990148182,0.0027172703526304,0.7433828103368924,0.0089114269199158,1.4810961539554224,-0.0001700501343194,1.9913703958234223,0.0007585421118683,-1.3193952732007408,2023-02-01,301.45,304.123,,3.6,5.957820738137087,5.498260329618088,3.6144142068336604,5.15528883780183,0.0,-0.2999999999999998,-0.0032527449324324343,148.0,10.0,-0.0065467696629213515,0.016560329861111105,-0.031133333333333336,-0.016828771551724138,0.0035335689045936022,4.131851231385042,5.337547036084689,-1.8259695067520454,-0.1607132935333988,3.6,0.0,-0.11611694460122556,-0.7921992501163068,0.2547683548548657,-0.2700240977141477,0.5385043465692486,0.35361529840148764,0.003333054412943153,0.5240041400143457,-1.1594583058266423,-0.4830737481905434,0.44062117342204943,1.3548317952454336,1.3121466002015738,-1.0754882027295671,0.5583251519182005,0.3574367273364976
2023-03,113,113,0.0353982300884955,0.0530973451327433,0.584070796460177,0.8584070796460177,0.0082181120739799,0.0079261316097012,0.0099922191280706,0.0103241464854272,0.003738471412999,0.0046894076309277,0.0037341395599177,0.004833810133142,0.0035935011946244,0.0043290563789908,7.388559472758956e-05,7.210521375113299e-05,-0.0001844645224824,-0.000204071359673,0.0007456605107337,0.0007849944968756,0.000517135950399,0.0004013403406903,2.793541546815752e-05,3.26514175476823e-05,0.0006818451482493,0.0006815983413079,0.0004995390258519,0.0005020155447956,0.0005856182199385,0.0005890859915895,0.0084520399595026,0.0081941453287385,-4.769074010034512e-05,4.353522339692097e-05,-0.0066169802287115,-0.0054875981429297,0.0017873689906907,0.0027500824092057,-0.0062580795681528,-0.0054903363522852,0.0001406383652933,0.0005047537541512,3.14273718738289,2.811415972039784,0.0258628305860664,0.024559307898786,0.0024593489241176,-0.367171964364603,0.0088231889855914,-0.2653666414892427,-9.633370548624568e-05,0.7955520473697745,0.0007308541957012,-1.10722395898485,2023-03-01,301.821,305.147,,3.5,4.917719362889961,5.566741392671326,4.061338793874492,5.074663799127843,0.0,-0.20000000000000018,-0.02260647727272727,110.0,10.0,-0.028660416666666667,0.005276242690058479,-0.05553576388888889,-0.07867555555555555,-0.0176991150442478,3.070617072997095,4.853596327155252,-1.8471022898928657,-0.7131450655160743,3.6,0.10000000000000009,-0.8720012853079723,-1.231877034141366,-0.3740512892711016,-0.26193488569993023,-1.2776972779681246,-0.21874731882221912,1.102881490140783,-0.014199183392805395,-1.3674032243485121,-0.2753303293073629,0.12273795205215539,0.7207252462783655,1.3697764500154606,-1.390086792643658,0.4223053996488973,0.2765016655175293
2023-04,53,53,0.1698113207547169,0.0754716981132075,0.490566037735849,0.8867924528301887,0.0082422899047617,0.0078929254302102,0.0121024004254704,0.0126342449043053,0.0038578013516919,0.0045116695122098,0.0042459747659104,0.0049247033255529,0.0030641807671095,0.003665141540123,0.0001019853457543,0.0001121733588272,6.383210207956679e-05,7.393244104524561e-05,0.0008672231196343,0.0008999362651369,0.0003248768526728,0.0003186743148501,6.17573220448434e-05,7.648183556404164e-05,0.0003791501323663,0.000423199490121,0.0005527363492143,0.0005481198215423,0.0006544555028042,0.0006755895474824,0.0085570428673461,0.0082294455066921,5.634805972821866e-05,0.000101975780752,-0.0072273680099735,-0.0069980996148648,0.0013860229171008,0.0013333216725793,-0.00785642565956,-0.0077095415787523,0.0011817939988009,0.0012595617854298,2.7903594170630748,2.655911306036085,0.0235823981309124,0.0215959209687698,0.0018186970665698,-0.5841281336316594,0.0090144182720277,-0.2406450637433156,4.913936900399733e-05,0.9562266055388092,0.0006831259796935,-0.7348490776224389,2023-04-01,302.845,306.534,2.8,3.4,4.950079879124369,5.514364195873522,3.268118426839739,5.244114003140954,-0.10000000000000009,-0.30000000000000027,-0.026382352941176468,17.0,4.0,0.060914062500000005,0.006776785714285721,-0.06540625,-0.09271875,0.09433962264150939,3.287749268428297,4.700970557935236,-1.6623306106960722,-0.8133936379382867,3.5,0.10000000000000009,-0.8022578094353989,-1.0611154062859518,-0.5722517883410813,-0.05846287785037487,0.4596998604150709,1.6539475972205262,-0.12437754597930196,0.2947568578144587,0.6188848935994813,0.3737630159087556,-0.5957282685542546,0.7404541070995698,1.3256987174197619,-1.7046853825577486,0.9732727938484302,0.2872643032556889
2023-05,296,296,0.1587837837837837,0.0743243243243243,0.652027027027027,0.8344594594594594,0.0091507286426245,0.0086181704713742,0.0116424209702849,0.0119505386013517,0.0042268345630213,0.0053494873854923,0.0045522967180773,0.0057333034993379,0.003445957537927,0.0043978728527997,0.0001361993693175,9.850910053484972e-05,-1.622701501790763e-05,-4.292575330570083e-05,0.0008182033056898,0.000866219688502,0.0002819260123411,0.0003065339050162,5.2043144293482425e-05,5.228136620564903e-05,0.0010295192346971,0.0010924053886128,0.0005029391253892,0.000510156068133,0.0003982516920431,0.0004132979581099,0.0097068796255888,0.0091696013023012,0.0006793230630445,0.0006906643640852,-0.0064867241974466,-0.0053919605236086,0.0038994784911867,0.0044683051427778,-0.0070901242522076,-0.0062172351020137,0.0011063391801502,0.0013354306465381,2.9094335857323004,2.689848271829572,0.0223580234809564,0.0203737732452584,0.0025333919105936,1.331835536805978,0.009076507694059,1.3551624812688206,0.0002270422995105,2.0269773883505326,0.0005553017367138,-1.5482544554740856,2023-05-01,303.334,307.652,,3.6,4.131851231385042,5.337547036084689,2.5234508116479315,4.722959561851758,0.0,0.0,0.013293390804597694,87.0,8.0,0.08464796511627905,0.041479245283018856,-0.026723863636363646,-0.06645659722222222,0.08445945945945939,3.722504803505289,4.399143440066089,-0.40934642787975317,-0.9384035960185999,3.7,0.10000000000000009,-0.03853027223784755,-0.0386100923567759,0.6689915723279499,-0.8157604007054472,-0.10049495170539648,1.1160804829801614,-0.39854822257894884,0.005547699088454004,0.4559255750760411,0.34047701691295185,0.6448959342567491,0.2416141320435815,1.1768992404720013,-1.0754882027295671,1.119258643839763,0.5361675302416306
