target,feature,coef,t_stat,p_value,r_squared,n_obs
cpi_yoy_3m_fwd,ew_growth_signal,-0.37407998258580993,-1.6749407674621821,0.09394585385810246,0.13993583337140025,40
cpi_yoy_3m_fwd,ew_margin_signal,-0.6849705445645808,-4.006537047040403,6.161546469230044e-05,0.4691846469210985,40
cpi_yoy_3m_fwd,ew_pricing_power_net,0.04588651036612079,0.37743940431394424,0.7058470881577237,0.0021055718335805107,40
cpi_yoy_3m_fwd,ew_labor_pressure_density,0.5441532456840238,2.4609344100215145,0.013857569727717903,0.2961027547884577,40
cpi_yoy_3m_fwd,ew_supply_chain_pressure_density,0.820850174234068,6.957111368997936,3.473203955615015e-12,0.6737950085400999,40
cpi_yoy_3m_fwd,ew_macro_risk_density,0.1664267610759666,1.133492399138666,0.25700753132928833,0.027697866802237292,40
cpi_yoy_3m_fwd,ew_uncertainty_density,0.3844159364594696,1.7173334248271503,0.0859182682036241,0.1477756122040108,40
cpi_yoy_3m_fwd,share_guidance_raised,-0.05008008742044949,-0.4974214463465688,0.6188918850407625,0.0025080151560400443,40
cpi_yoy_3m_fwd,fed_inflation_score,0.09001186486110876,1.174068776795713,0.24036747854182705,0.008102135815774902,40
cpi_yoy_3m_fwd,fed_growth_score,-0.006067539480632715,-0.060822440552523505,0.9515006184283721,3.681503534913588e-05,40
core_cpi_yoy_3m_fwd,ew_growth_signal,-0.427951578804809,-1.7641848805566895,0.07770085742400658,0.18314255380152866,40
core_cpi_yoy_3m_fwd,ew_margin_signal,-0.7596899668298821,-5.295962462183642,1.1839115886491837e-07,0.5771288457019872,40
core_cpi_yoy_3m_fwd,ew_pricing_power_net,-0.05282915904549769,-0.3536392474672058,0.7236092573743271,0.002790920045454337,40
core_cpi_yoy_3m_fwd,ew_labor_pressure_density,0.4284989401346181,1.991533352582939,0.04642228225485156,0.18361134169649118,40
core_cpi_yoy_3m_fwd,ew_supply_chain_pressure_density,0.7874622026504903,7.733432465487074,1.0468491601610835e-14,0.6200967206031617,40
core_cpi_yoy_3m_fwd,ew_macro_risk_density,0.011102241132019578,0.08221332566734894,0.9344770769684239,0.00012325975815363766,40
