target,feature,coef,t_stat,p_value,r_squared,n_obs
cpi_yoy_change_3m_fwd,const,-1.0408340855860843e-16,-8.466467608696025e-16,0.9999999999999993,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_growth_signal,0.2687525698235407,1.4836460869043289,0.13790283601498665,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_margin_signal,0.24052122307945428,1.1813424682797915,0.23746670289423266,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_pricing_power_net,-0.44073776463148356,-2.255542858119298,0.024099275307213886,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_labor_pressure_density,0.0732409665140481,0.43585083953235126,0.6629449549449,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_supply_chain_pressure_density,-0.6267933775467459,-3.792586279013087,0.00014908642626260254,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_macro_risk_density,-0.028936978869880114,-0.08846038548552804,0.9295107686668455,0.5768283728308858,39
cpi_yoy_change_3m_fwd,ew_uncertainty_density,0.5670755719184968,1.5436610888335347,0.12267045744288205,0.5768283728308858,39
cpi_yoy_change_3m_fwd,share_guidance_raised,0.1203637522491412,0.7934582111810903,0.427510907152991,0.5768283728308858,39
cpi_yoy_change_3m_fwd,fed_inflation_score,-0.09931180211306193,-0.6622807547893077,0.5077913083380361,0.5768283728308858,39
cpi_yoy_change_3m_fwd,fed_growth_score,-0.07096736369612014,-0.9171021506815502,0.3590891141870961,0.5768283728308858,39
core_cpi_yoy_change_3m_fwd,const,-2.7755575615628914e-17,-1.9392083297847695e-16,0.9999999999999999,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_growth_signal,-0.00024475098644233945,-0.00119094647108922,0.999049762422604,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_margin_signal,0.001983476679366006,0.008824983330936906,0.9929587734465303,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_pricing_power_net,-0.14181398152626556,-0.46420175916639783,0.6425032009644732,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_labor_pressure_density,-0.21478305609437487,-0.7793954961822827,0.43574677607730805,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_supply_chain_pressure_density,-0.5513967950911645,-2.671621600566715,0.007548571701353217,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_macro_risk_density,0.12649279823491616,0.39206725876521825,0.6950085184798203,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,ew_uncertainty_density,0.46193285701414666,1.291416790519501,0.19655919148220846,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,share_guidance_raised,0.04452937280351274,0.28154434170557224,0.7782929231026667,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,fed_inflation_score,-0.11782250877656708,-0.6123300521066604,0.5403194104241859,0.4263994324967987,39
core_cpi_yoy_change_3m_fwd,fed_growth_score,-0.1244253704843634,-0.9543170325040634,0.3399231889552826,0.4263994324967987,39
unemployment_change_3m_fwd,const,-6.938893903907228e-17,-3.7830968003059566e-16,0.9999999999999997,0.05801580152099861,39
unemployment_change_3m_fwd,ew_growth_signal,0.029841877491172897,0.10788614141639215,0.9140860104996873,0.05801580152099861,39
unemployment_change_3m_fwd,ew_margin_signal,-0.0381498982594809,-0.14209751604154414,0.8870029801803101,0.05801580152099861,39
unemployment_change_3m_fwd,ew_pricing_power_net,-0.019040586623157565,-0.06546514120550083,0.9478036600640946,0.05801580152099861,39
unemployment_change_3m_fwd,ew_labor_pressure_density,-0.08962390617594954,-0.3774583807553626,0.7058329881816768,0.05801580152099861,39
unemployment_change_3m_fwd,ew_supply_chain_pressure_density,-0.15780080060080162,-0.7881868748562089,0.43058740525069394,0.05801580152099861,39
unemployment_change_3m_fwd,ew_macro_risk_density,0.028425012990757295,0.06376371904648628,0.9491583674510357,0.05801580152099861,39
unemployment_change_3m_fwd,ew_uncertainty_density,0.03235150106184331,0.07113239418012306,0.9432923866339759,0.05801580152099861,39
unemployment_change_3m_fwd,share_guidance_raised,0.09316957203058565,0.35792618267482074,0.7203985560891525,0.05801580152099861,39
unemployment_change_3m_fwd,fed_inflation_score,0.059827244655234806,0.2807072085278955,0.7789349793680879,0.05801580152099861,39
unemployment_change_3m_fwd,fed_growth_score,-0.13760423203024355,-0.5366891922085733,0.5914823227635084,0.05801580152099861,39
