call_month,n_transcripts,n_companies,share_guidance_raised,share_guidance_lowered,share_positive_composite,share_negative_qna_gap,ew_overall_net_tone,tw_overall_net_tone,ew_prepared_net_tone,tw_prepared_net_tone,ew_qa_net_tone,tw_qa_net_tone,ew_management_qa_net_tone,tw_management_qa_net_tone,ew_analyst_question_net_tone,tw_analyst_question_net_tone,ew_demand_net,tw_demand_net,ew_pricing_power_net,tw_pricing_power_net,ew_capex_net,tw_capex_net,ew_supply_chain_pressure_density,tw_supply_chain_pressure_density,ew_labor_pressure_density,tw_labor_pressure_density,ew_automation_density,tw_automation_density,ew_uncertainty_density,tw_uncertainty_density,ew_macro_risk_density,tw_macro_risk_density,ew_growth_signal,tw_growth_signal,ew_margin_signal,tw_margin_signal,ew_credibility_signal,tw_credibility_signal,ew_composite_signal,tw_composite_signal,ew_qna_reality_gap,tw_qna_reality_gap,ew_analyst_management_gap,tw_analyst_management_gap,ew_complexity_score,tw_complexity_score,ew_numeric_token_share,tw_numeric_token_share,ew_composite_signal_rolling_mean4,ew_composite_signal_rolling_z8,ew_growth_signal_rolling_mean4,ew_growth_signal_rolling_z8,ew_margin_signal_rolling_mean4,ew_margin_signal_rolling_z8,ew_macro_risk_density_rolling_mean4,ew_macro_risk_density_rolling_z8
2022-08,355,355,0.09014084507042254,0.07323943661971831,0.5605633802816902,0.8028169014084507,0.007721269108711607,0.007636559821572539,0.01000920426778798,0.010682020733176473,0.003993889900845783,0.004782424624973419,0.004365611532303805,0.005221479795187094,0.0028635770366470933,0.0035269865808103887,0.00013502795017453535,0.00013955442698495305,3.0758520902751196e-05,1.2640799545734343e-05,0.0007195387961627009,0.0007801901479630462,0.0005960330671720939,0.0006138372259411144,7.193561513738871e-05,7.584479727443317e-05,0.00022286688150778263,0.0002386582954235552,0.0006359672066171064,0.0006123203299956154,0.0006357262905165576,0.0006638947921422437,0.007940109564532309,0.007892409604378323,-0.00041434327989894903,-0.00043838292824625814,-0.004777525446444579,-0.004378368053608295,0.002748240838188781,0.003075658622523769,-0.005643592735484149,-0.005460540937989343,0.001502034495656711,0.0016944932143767028,3.034205569616167,2.8328270900266204,0.024463395847504347,0.022427812186034093,,0.0,,0.0,,0.0,,0.0
2022-09,93,93,0.16129032258064516,0.0967741935483871,0.4946236559139785,0.8172043010752689,0.008331407738361165,0.007762213824996094,0.010842420760565786,0.010850941472528922,0.00415981967063383,0.004859935838786767,0.004232247276846928,0.005019800642697081,0.0038177232504667726,0.00433477368212846,0.00019388728969459788,0.00016443946278632478,-2.616082125246806e-06,-6.7118148076094706e-06,0.0006957887582731022,0.000706418508500471,0.0009280515395456517,0.0008238752676335812,6.647231493048976e-05,6.544019437414704e-05,0.0005770546504053807,0.0005369451846084446,0.0006377390057168877,0.0005117758790799038,0.000864160569100628,0.0009178406749400604,0.008356923217228265,0.007715231121342861,-0.00042008528619601497,-0.00035908209220690123,-0.006833388463055598,-0.005657889748343121,0.0011034494679766549,0.0016982592807928362,-0.006610173483718837,-0.005831140829831809,0.000414524026380164,0.0006850269605686336,3.052790131104453,2.740198825585169,0.023545021818060823,0.021519756226886143,0.0019258451530827178,0.0,0.008148516390880288,0.0,-0.000417214283047482,0.0,0.0007499434298085929,0.0
2022-10,151,151,0.13245033112582782,0.09271523178807947,0.4966887417218543,0.9006622516556292,0.008577774009181227,0.007916143769016124,0.012454631122527452,0.01271257933556518,0.0038251896175953305,0.004567414959432925,0.004270224940563527,0.005126335333890162,0.002644785660700946,0.003085748004926714,0.00015322294202215942,0.00013542672962502957,0.00011689700525207639,8.667310696002348e-05,0.0008917434910406232,0.0009037477090311132,0.000667397427673046,0.0007024133043218879,5.9895509832107814e-05,6.319914049167849e-05,0.0002705111154908625,0.00019682018038838877,0.0007181781956234174,0.0006428255432868551,0.0011151937477522505,0.0011439044428995298,0.008507546694491781,0.007811413764772756,-0.0003398848167622196,-0.00048211915746515635,-0.007277145097724772,-0.006188482215998428,0.0008905167800047855,0.0011408123913091673,-0.008184406181963897,-0.007586244001674981,0.001625439279862575,0.0020405873289634415,2.793027237562375,2.5710921131234334,0.022689790561102458,0.021917461922517815,0.0015807356953900736,0.0,0.008268193158750785,0.0,-0.00039143779428572786,0.0,0.000871693535789812,0.0
2022-11,296,296,0.15202702702702703,0.0777027027027027,0.5641891891891891,0.8175675675675675,0.008464813408478381,0.007837581865061111,0.01090116505949655,0.011077354125149987,0.003913774218830573,0.004667061658023481,0.004298672452947735,0.00521554717654987,0.0027377794498087754,0.003199953257878113,0.0001166212341329811,0.000105173630395162,-1.1600592955414203e-05,-3.273260945972446e-05,0.0009199269387955132,0.0009315378692144007,0.000524397886997626,0.0005065505463930807,4.124507847058529e-05,4.561101318157565e-05,0.00023468710299028573,0.0002452262708703739,0.0006017809332149203,0.0005838209687242163,0.0006963698846069094,0.0006390907846971968,0.008804991696799984,0.008235202579973499,-0.0003425564554333432,-0.00033966789816401293,-0.005643380536624794,-0.0044300339986525945,0.0028190547047418457,0.003465500683156889,-0.0066024926065487936,-0.005861806948600089,0.0015608930031389531,0.002015593918671747,2.9451234648957056,2.6986324665333306,0.02400497633589337,0.022031192567014597,0.0018903154477280166,1.035558833754705,0.008402392793263085,1.2911431839202798,-0.0003792174595726317,0.9631730327493249,0.0008278626229940864,-0.7077192156908282
2022-12,55,55,0.14545454545454545,0.09090909090909091,0.5454545454545454,0.8,0.00785779017612751,0.007273250377616294,0.009933510779736154,0.009950648830196489,0.004334289737002063,0.005044961841238671,0.004885145526085213,0.00560051894422673,0.0026054107494172096,0.003352667929304933,0.0001220689501357309,8.918938358626186e-05,-0.0002710061668579899,-0.0002934618427677423,0.0006576349621729799,0.0006415881464431723,0.0007648420452114891,0.0007135150686901767,3.7408010291524826e-05,3.4524922678549365e-05,0.0005477119841282654,0.0004804718406099196,0.0005493206590933437,0.000463209379270616,0.0008453683668350253,0.0007480399913687273,0.0077921257216012115,0.00725598791627702,-0.0005255442382327534,-0.0005610299935265617,-0.0033179511360762926,-0.0025654882503185913,0.003948630347292173,0.00412946967243187,-0.005048365253650919,-0.004350129885969735,0.002279734776668006,0.0022478510149217955,2.8435774701550804,2.5456162998205514,0.02301665465459729,0.021350787599798568,0.002190412825003865,1.4325021932637783,0.00836539683253031,-1.3172302548926427,-0.00040701769915608277,-1.7288235502315472,0.0008802731420737033,0.08419757573234081
2023-01,82,82,0.04878048780487805,0.0975609756097561,0.5487804878048781,0.926829268292683,0.009228757797359467,0.00840664012117552,0.012948981445206079,0.013234901687835228,0.0036659637781143086,0.004743791438114038,0.003993734856652816,0.005173058334167146,0.0027388795535583477,0.003544384400640484,0.00014026930672034974,6.133746338919508e-05,0.0001746816158201844,6.47451002441489e-05,0.0009990434973456233,0.0010393292407614274,0.000529673432106533,0.0005792982653424205,2.9270637929561483e-05,3.578018697703069e-05,0.0003519737952342699,0.00025386894569417534,0.000685142877931755,0.0006576739130063923,0.0009095486639620036,0.0010103643274943118,0.009458521937463452,0.008496942497831844,-3.22886589816391e-05,-0.0002964644063811251,-0.008385534163390577,-0.007090843333147838,0.0010406991150912375,0.0011096347583028805,-0.008955246588553236,-0.008061843353668045,0.0012548553030944597,0.0016286739335266516,2.812148355385452,2.5645420838585182,0.02659483739238467,0.024672994648306277,0.0021747252367825104,-0.9141223567819049,0.008640796512589106,1.7712154101799753,-0.0003100685423524888,2.046037509122156,0.0008916201657890472,0.4214134052866187
2023-02,283,283,0.04946996466431095,0.045936395759717315,0.6254416961130742,0.8551236749116607,0.009066991759575609,0.008859127945285893,0.01227868230073316,0.012795205552528425,0.004483007118138978,0.005412914163156439,0.004850990134585359,0.005858722602892031,0.003580648773975119,0.00430846871628315,0.00012715291933680157,0.00013543585235562629,7.509428703437299e-05,8.318906287012553e-05,0.0009788051769556204,0.00101450076670891,0.0003448836516279395,0.00038297403943260286,3.8272601094011895e-05,3.500027645145222e-05,0.0005282507810573355,0.0004712356061362857,0.0005922090902343955,0.0005650769270568452,0.0005828815320694637,0.0005635551759067889,0.009590068323798598,0.009445509388443673,0.00022018881536975483,0.00013645035312235466,-0.006749559895771975,-0.005951305990084374,0.0030606972433963797,0.0036306537514816553,-0.007427692166147777,-0.0069364829496363625,0.0012703413606102323,0.0015502538866088709,2.80363414321914,2.597524143376954,0.02694270005134209,0.02482939901481826,0.002717270352630409,0.7433828103368924,0.00891142691991581,1.4810961539554224,-0.00017005013431949518,1.9913703958234223,0.0007585421118683505,-1.3193952732007408
2023-03,113,113,0.035398230088495575,0.05309734513274336,0.584070796460177,0.8584070796460177,0.008218112073979902,0.007926131609701232,0.009992219128070662,0.010324146485427262,0.003738471412999038,0.004689407630927752,0.0037341395599177415,0.004833810133142014,0.003593501194624419,0.004329056378990817,7.388559472758956e-05,7.210521375113299e-05,-0.00018446452248247576,-0.00020407135967304756,0.0007456605107337283,0.0007849944968756218,0.0005171359503990902,0.0004013403406903019,2.793541546815752e-05,3.26514175476823e-05,0.0006818451482493857,0.0006815983413079617,0.00049953902585197,0.0005020155447956624,0.0005856182199385742,0.0005890859915895036,0.008452039959502671,0.008194145328738509,-4.769074010034512e-05,4.353522339692097e-05,-0.006616980228711572,-0.0054875981429297165,0.0017873689906907496,0.002750082409205709,-0.006258079568152897,-0.005490336352285221,0.00014063836529332923,0.000504753754151204,3.14273718738289,2.811415972039784,0.025862830586066414,0.024559307898786,0.002459348924117635,-0.36717196436460303,0.008823188985591483,-0.2653666414892427,-9.633370548624568e-05,0.7955520473697745,0.0007308541957012667,-1.10722395898485
2023-04,53,53,0.16981132075471697,0.07547169811320754,0.49056603773584906,0.8867924528301887,0.008242289904761781,0.007892925430210281,0.012102400425470495,0.012634244904305305,0.0038578013516919795,0.004511669512209843,0.004245974765910438,0.004924703325552967,0.003064180767109509,0.003665141540123092,0.00010198534575431886,0.0001121733588272586,6.383210207956679e-05,7.393244104524561e-05,0.000867223119634332,0.0008999362651369865,0.0003248768526728056,0.00031867431485019715,6.17573220448434e-05,7.648183556404164e-05,0.00037915013236631504,0.0004231994901210861,0.000552736349214361,0.000548119821542337,0.0006544555028042553,0.000675589547482433,0.008557042867346189,0.00822944550669211,5.634805972821866e-05,0.00010197578075207695,-0.007227368009973522,-0.0069980996148648255,0.0013860229171008946,0.0013333216725793723,-0.007856425659560032,-0.007709541578752305,0.0011817939988009224,0.001259561785429872,2.7903594170630748,2.6559113060360855,0.023582398130912452,0.02159592096876987,0.0018186970665698156,-0.5841281336316594,0.009014418272027726,-0.24064506374331565,4.913936900399733e-05,0.9562266055388092,0.0006831259796935741,-0.7348490776224389
2023-05,296,296,0.15878378378378377,0.07432432432432433,0.652027027027027,0.8344594594594594,0.00915072864262455,0.008618170471374252,0.011642420970284981,0.01195053860135176,0.0042268345630213314,0.005349487385492393,0.0045522967180773284,0.005733303499337938,0.003445957537927046,0.004397872852799743,0.00013619936931752265,9.850910053484972e-05,-1.622701501790763e-05,-4.292575330570083e-05,0.0008182033056898316,0.000866219688502069,0.0002819260123411907,0.00030653390501628533,5.2043144293482425e-05,5.228136620564903e-05,0.001029519234697174,0.001092405388612868,0.0005029391253892722,0.0005101560681330344,0.0003982516920431311,0.0004132979581099367,0.009706879625588803,0.009169601302301267,0.0006793230630445892,0.0006906643640852273,-0.006486724197446665,-0.005391960523608677,0.003899478491186738,0.004468305142777833,-0.007090124252207633,-0.006217235102013792,0.0011063391801502767,0.0013354306465381903,2.9094335857323004,2.6898482718295718,0.02235802348095643,0.020373773245258443,0.0025333919105936906,1.331835536805978,0.009076507694059065,1.3551624812688206,0.0002270422995105544,2.0269773883505326,0.0005553017367138561,-1.5482544554740856
