period_year,period_quarter,year_quarter,category,raw_score,z_score
2020,1,2020-Q1,Inflation,-0.0026726278658061563,1.758447729511339
2020,1,2020-Q1,Growth,0.0004697796414866233,-0.05564579116986842
2020,1,2020-Q1,Labor,0.00019256644559113343,-0.26070947056954646
2020,1,2020-Q1,Rates,0.0002767558706487042,0.669548324174222
2020,1,2020-Q1,Financial Conditions,-2.281149746575377e-05,0.06817070671403266
2020,1,2020-Q1,Uncertainty,-0.0005394113929760444,0.845129111254997
2020,2,2020-Q2,Inflation,-0.002769910800066722,1.7128409283456902
2020,2,2020-Q2,Growth,5.7134517883506294e-05,-1.3344833031365144
2020,2,2020-Q2,Labor,-7.018750935685877e-05,-1.4855941752751198
2020,2,2020-Q2,Rates,0.0002987896325014258,0.7066871488789725
2020,2,2020-Q2,Financial Conditions,-1.3535275606280477e-05,0.215604773556668
2020,2,2020-Q2,Uncertainty,-0.0012468227435327589,-0.33038433592497
2020,3,2020-Q3,Inflation,-0.003631132010416228,1.3090954533701185
2020,3,2020-Q3,Growth,0.00040252112561098616,-0.2640881261959723
2020,3,2020-Q3,Labor,-6.631641730848384e-05,-1.4675482378067368
2020,3,2020-Q3,Rates,0.0006298799195199376,1.2647536385332212
2020,3,2020-Q3,Financial Conditions,0.00015057190613982732,2.8238853396583887
2020,3,2020-Q3,Uncertainty,-0.0007564275741074952,0.4845108670397997
2020,4,2020-Q4,Inflation,-0.0028603955964771007,1.6704211334477566
2020,4,2020-Q4,Growth,0.0002154471885180622,-0.8438530490836074
2020,4,2020-Q4,Labor,-6.0169134224001826e-05,-1.4388913407976405
2020,4,2020-Q4,Rates,0.0005350360787149987,1.1048903886023065
2020,4,2020-Q4,Financial Conditions,6.717869487485167e-05,1.4984534482999234
2020,4,2020-Q4,Uncertainty,-0.0007061323975375435,0.5680869311497988
2021,1,2021-Q1,Inflation,-0.0047668537672808774,0.776662537581479
2021,1,2021-Q1,Growth,0.00040236691536938134,-0.26456604252264954
2021,1,2021-Q1,Labor,4.340615791524427e-05,-0.9560525909417713
2021,1,2021-Q1,Rates,0.0005621120939954182,1.1505281417887165
2021,1,2021-Q1,Financial Conditions,4.443681699721218e-05,1.1369994432175858
2021,1,2021-Q1,Uncertainty,-0.000734637466141319,0.5207197360515641
2021,2,2021-Q2,Inflation,-0.0037335691586707176,1.2610723269304345
2021,2,2021-Q2,Growth,0.0002791139001498068,-0.6465421530107204
2021,2,2021-Q2,Labor,-1.5209432332288919e-05,-1.2293019125959541
2021,2,2021-Q2,Rates,0.0006504646926843436,1.2994501323616456
2021,2,2021-Q2,Financial Conditions,3.941352709644183e-06,0.49337415276599966
