source,period_year,period_quarter,period_label,bucket,bucket_slug,raw_score,z_score
central_bank,2022,2,2022-Q2,Hawkish / Dovish,hawkish_dovish,0.3437792423098221,0.7210210894169031
central_bank,2022,3,2022-Q3,Demand,demand,0.00011904288792771942,-0.7895291375084567
central_bank,2022,3,2022-Q3,Inflation,inflation,-0.0031529800497849835,-1.173764693166426
central_bank,2022,3,2022-Q3,Employment,employment,0.00026881624964023596,0.09474557380848855
central_bank,2022,3,2022-Q3,Capex,capex,0.0010123240105789745,0.22680069371255532
central_bank,2022,3,2022-Q3,AI,ai,0.00015430201250238987,-0.4747143266290831
central_bank,2022,3,2022-Q3,Hawkish / Dovish,hawkish_dovish,0.37262588176873024,0.8337501455919849
central_bank,2022,4,2022-Q4,Demand,demand,0.0001896547192113551,-0.3511162740967775
central_bank,2022,4,2022-Q4,Inflation,inflation,-0.003173860668241635,-1.2019375681292614
central_bank,2022,4,2022-Q4,Employment,employment,0.0002447624514163466,-0.017386437830871473
central_bank,2022,4,2022-Q4,Capex,capex,0.0011650215197398649,0.9752040728153625
central_bank,2022,4,2022-Q4,AI,ai,2.5838614977285695e-05,-0.7472889309407271
central_bank,2022,4,2022-Q4,Hawkish / Dovish,hawkish_dovish,0.44804230625640806,1.1284680923637656
central_bank,2023,1,2023-Q1,Demand,demand,0.00026582526326622026,0.12180937759153963
central_bank,2023,1,2023-Q1,Inflation,inflation,-0.003298055398185429,-1.3695055261863216
central_bank,2023,1,2023-Q1,Employment,employment,0.0004010453291852919,0.7111601852806319
central_bank,2023,1,2023-Q1,Capex,capex,0.0007494091646053229,-1.0618015907926313
central_bank,2023,1,2023-Q1,AI,ai,0.00016580201865215566,-0.4503135269753037
central_bank,2023,1,2023-Q1,Hawkish / Dovish,hawkish_dovish,0.4021425950328299,0.949097766322376
central_bank,2023,2,2023-Q2,Demand,demand,0.00021715428908255195,-0.18037767476215036
central_bank,2023,2,2023-Q2,Inflation,inflation,-0.002580687096924034,-0.401606634891694
central_bank,2023,2,2023-Q2,Employment,employment,0.0005362616720854825,1.3415005745526036
central_bank,2023,2,2023-Q2,Capex,capex,0.0008960244263247466,-0.34320861634375227
central_bank,2023,2,2023-Q2,AI,ai,0.0001390062809430459,-0.5071689250420712
central_bank,2023,2,2023-Q2,Hawkish / Dovish,hawkish_dovish,0.5164459812532574,1.3957810919346947
central_bank,2023,3,2023-Q3,Demand,demand,0.000369779785152737,0.7672394532086536
central_bank,2023,3,2023-Q3,Inflation,inflation,-0.0030054791934598455,-0.9747512783680934
central_bank,2023,3,2023-Q3,Employment,employment,0.0007305315148933958,2.2471316965963
central_bank,2023,3,2023-Q3,Capex,capex,0.0008294382231014838,-0.6695619391173999
central_bank,2023,3,2023-Q3,AI,ai,0.0004678577435939821,0.19059058495273218
central_bank,2023,3,2023-Q3,Hawkish / Dovish,hawkish_dovish,0.42074958213083213,1.0218115428025671
central_bank,2023,4,2023-Q4,Demand,demand,0.00031330297859742527,0.4165877560616929
central_bank,2023,4,2023-Q4,Inflation,inflation,-0.002398708509956341,-0.15607463653648362
central_bank,2023,4,2023-Q4,Employment,employment,0.00040060243733924545,0.7090955486201922
central_bank,2023,4,2023-Q4,Capex,capex,0.0007860073955910827,-0.8824257785122367
central_bank,2023,4,2023-Q4,AI,ai,0.0001543868670890701,-0.47453428152803495
central_bank,2023,4,2023-Q4,Hawkish / Dovish,hawkish_dovish,0.26176502918551087,0.40051981052042723
central_bank,2024,1,2024-Q1,Demand,demand,0.00019035603313352685,-0.346761974835868
central_bank,2024,1,2024-Q1,Inflation,inflation,-0.0026858056445330236,-0.5434363275423721
central_bank,2024,1,2024-Q1,Employment,employment,0.0006794350240711277,2.008934292166315
central_bank,2024,1,2024-Q1,Capex,capex,0.0009816725746581466,0.07657140481609849
central_bank,2024,1,2024-Q1,AI,ai,0.00015590045162045246,-0.47132274647071914
central_bank,2024,1,2024-Q1,Hawkish / Dovish,hawkish_dovish,0.28774585671059005,0.5020496323813691
central_bank,2024,2,2024-Q2,Demand,demand,0.00021373089035710757,-0.201632781881427
central_bank,2024,2,2024-Q2,Inflation,inflation,-0.0023812828895643113,-0.13256336815745226
central_bank,2024,2,2024-Q2,Employment,employment,0.0004834946889727592,1.0955158070120914
central_bank,2024,2,2024-Q2,Capex,capex,0.0007888675174683841,-0.8684077052025874
central_bank,2024,2,2024-Q2,AI,ai,0.00025951876700179577,-0.25146462455712554
central_bank,2024,2,2024-Q2,Hawkish / Dovish,hawkish_dovish,0.3435487442469481,0.7201203318394049
central_bank,2024,3,2024-Q3,Demand,demand,0.0002479695258932498,0.010947149439341865
