period_year,period_quarter,year_quarter,inflation_net,gdp_growth_net,unemployment_net,rates_net,financial_conditions_net,uncertainty_net,Inflation_zscore,Growth_zscore,Labor_zscore,Rates_zscore,Financial Conditions_zscore,Uncertainty_zscore
2020,1,2020-Q1,-0.0026726278658061563,0.0004697796414866233,0.00019256644559113343,0.0002767558706487042,-2.281149746575377e-05,-0.0005394113929760444,1.758447729511339,-0.05564579116986842,-0.26070947056954646,0.669548324174222,0.06817070671403266,0.845129111254997
2020,2,2020-Q2,-0.002769910800066722,5.7134517883506294e-05,-7.018750935685877e-05,0.0002987896325014258,-1.3535275606280477e-05,-0.0012468227435327589,1.7128409283456902,-1.3344833031365144,-1.4855941752751198,0.7066871488789725,0.215604773556668,-0.33038433592497
2020,3,2020-Q3,-0.003631132010416228,0.00040252112561098616,-6.631641730848384e-05,0.0006298799195199376,0.00015057190613982732,-0.0007564275741074952,1.3090954533701185,-0.2640881261959723,-1.4675482378067368,1.2647536385332212,2.8238853396583887,0.4845108670397997
2020,4,2020-Q4,-0.0028603955964771007,0.0002154471885180622,-6.0169134224001826e-05,0.0005350360787149987,6.717869487485167e-05,-0.0007061323975375435,1.6704211334477566,-0.8438530490836074,-1.4388913407976405,1.1048903886023065,1.4984534482999234,0.5680869311497988
2021,1,2021-Q1,-0.0047668537672808774,0.00040236691536938134,4.340615791524427e-05,0.0005621120939954182,4.443681699721218e-05,-0.000734637466141319,0.776662537581479,-0.26456604252264954,-0.9560525909417713,1.1505281417887165,1.1369994432175858,0.5207197360515641
2021,2,2021-Q2,-0.0037335691586707176,0.0002791139001498068,-1.5209432332288919e-05,0.0006504646926843436,3.941352709644183e-06,-0.0003881213336103951,1.2610723269304345,-0.6465421530107204,-1.2293019125959541,1.2994501323616456,0.49337415276599966,1.0965295150921959
2021,3,2021-Q3,-0.007053583296470963,0.00044085810146636295,5.03235710724643e-05,0.0007879572149625042,-2.782536825074415e-06,-0.0006280889047922185,-0.29536946628525684,-0.1452771672995587,-0.9238055651107615,1.5311995139349914,0.3865062496345317,0.6977726862833908
2021,4,2021-Q4,-0.006080359020841267,0.00037881903427658777,5.5668037308362694e-05,0.0004543392861890434,-2.4364564874739834e-05,-0.00044977065852850993,0.16088369225272803,-0.33754379494547515,-0.8988911734379013,0.9688725786663746,0.0434866222175272,0.9940861341741781
2022,1,2022-Q1,-0.00650021270413992,0.0004059990874424657,0.00035095619823200186,0.0002491975842050171,2.2039816867054495e-06,-0.0010274702905557333,-0.035946138163158774,-0.25330949874862096,0.47765880796045646,0.6230976828249792,0.4657607904071836,0.03411611765622049
2022,2,2022-Q2,-0.007445880650697572,0.00030987384258490875,0.0002597240058851185,-0.00026420945907573305,8.551004872846193e-06,-0.0011272075838251355,-0.47928073055800335,-0.5512133438187876,0.052360102163342276,-0.24227130455167434,0.5666388693118599,-0.13161847132266347
2022,3,2022-Q3,-0.008544391545468665,0.00018550676459693435,0.00026881624964023596,-0.00033004767600889495,-7.651997799288561e-05,-0.0008224866673876795,-0.9942689793903837,-0.9366420705560824,0.09474557380848855,-0.3532443655250102,-0.7854591253459722,0.3747397241280253
2022,4,2022-Q4,-0.008899882035397743,0.0003579699346523498,0.0002447624514163466,-0.0009288242127234481,-7.358775219786046e-05,-0.0008462025826214786,-1.160924973205802,-0.4021576947957722,-0.017386437830871473,-1.3625071951317749,-0.7388550250548668,0.3353307193847857
2023,1,2023-Q1,-0.009428472831443482,0.0005491785600170991,0.0004010453291852919,-0.0008678417451482516,-9.914067813900429e-05,-0.0008642898374539727,-1.4087313897832485,0.19042113078900072,0.7111601852806319,-1.2597187022508551,-1.1449871603470063,0.3052749233314214
2023,2,2023-Q2,-0.0074099387249960905,0.0004037465352651151,0.0005362616720854825,-0.0010192260764133206,-0.00018317612378223073,-0.0011012687733876403,-0.4624309483075263,-0.2602904323821145,1.3415005745526036,-1.5148833073455055,-2.4806265723627066,-0.08851565646235379
2023,3,2023-Q3,-0.009116230032637777,0.0007483718477961035,0.0007305315148933958,-0.001252000783534141,-5.267939774035688e-05,-0.0008419634254748219,-1.2623501632220147,0.8077453979933881,2.2471316965963,-1.9072347860101422,-0.4065426056932059,0.34237497479103896
2023,4,2023-Q4,-0.007088074935374205,0.000607586413947131,0.00040060243733924545,-0.0007901984487793784,-7.719202486740859e-05,-0.0013752146002238008,-0.31153934571266195,0.37143418614024815,0.7090955486201922,-1.1288476874592346,-0.7961404787375599,-0.5437345372328058
2024,1,2024-Q1,-0.0077826729852980185,0.0003997719121281304,0.0006794350240711277,-0.0007466266901262781,-8.450588831615045e-05,-0.0006586289234391771,-0.6371709212166905,-0.2726082737251163,2.008934292166315,-1.055405670725478,-0.9123852871213194,0.6470239916683352
2024,2,2024-Q2,-0.006987306453680199,0.0004126082040574644,0.0004834946889727592,-0.00072544675557909,-6.96582817688677e-05,-0.0006556793833825588,-0.26429849978922876,-0.23282704114819738,1.0955158070120914,-1.0197060075602002,-0.6764009554281649,0.6519252757611366
