year_quarter,category,raw_score,z_score
2021-Q2,Inflation,-0.0007026172492534692,-2.5447922232501363
2021-Q2,GDP / Growth,0.0,-0.15043520603314237
2021-Q2,AI,0.0,-1.3871012884382659
2021-Q2,Unemployment,0.0,0.36707590902829623
2021-Q2,Uncertainty,0.0,0.6134777810089763
2022-Q1,Inflation,-0.0005897095680377414,-1.8740532143066388
2022-Q1,GDP / Growth,0.0,-0.15043520603314237
2022-Q1,AI,0.0,-1.3871012884382659
2022-Q1,Unemployment,0.0,0.36707590902829623
2022-Q1,Uncertainty,0.0007371369600471767,3.753615209482157
2022-Q2,Inflation,-0.00046812107051958724,-1.1517449758756886
2022-Q2,GDP / Growth,-4.065921765675024e-05,-1.426993452377273
2022-Q2,AI,0.00013964327155636364,-1.1974386883302923
2022-Q2,Unemployment,1.9162753144655274e-06,0.7186097391142431
2022-Q2,Uncertainty,-0.0004009383012667199,-1.094483472535422
2022-Q3,Inflation,-0.0005460086228933031,-1.6144435197273153
2022-Q3,GDP / Growth,-8.420715947440863e-05,-2.7942476063542605
2022-Q3,AI,0.00014027694168150713,-1.1965780416109337
2022-Q3,Unemployment,-3.232534919309693e-06,-0.22592102230693006
2022-Q3,Uncertainty,-0.0003595851735928394,-0.9183228524182713
2022-Q4,Inflation,-0.0004614169505454587,-1.111918502257002
2022-Q4,GDP / Growth,-5.2682846393595755e-05,-1.804493642975559
2022-Q4,AI,0.0002686440168192369,-1.0222306995046542
2022-Q4,Unemployment,-1.551057680947715e-05,-2.4782837485940403
2022-Q4,Uncertainty,-0.00028448716615210297,-0.598412066838721
2023-Q1,Inflation,-0.00031575112044266264,-0.24657653908796812
2023-Q1,GDP / Growth,-2.203163726992129e-05,-0.8421521120201778
2023-Q1,AI,0.0005662327161391379,-0.6180476275477562
2023-Q1,Unemployment,-1.0008628162429985e-05,-1.4689710124582447
2023-Q1,Uncertainty,-0.0002670477189537221,-0.5241215837295674
2023-Q2,Inflation,-0.000274295524553925,-0.00030555909638972173
2023-Q2,GDP / Growth,-7.262380399878427e-06,-0.37844873216191294
2023-Q2,AI,0.0008184112452187976,-0.2755403589655565
2023-Q2,Unemployment,-3.6339544875922882e-06,-0.299560001656401
2023-Q2,Uncertainty,-0.00019076367889440273,-0.1991584054213118
2023-Q3,Inflation,-0.00022969651649688459,0.26463916514151586
2023-Q3,GDP / Growth,2.370393277400585e-06,-0.07601308825188594
2023-Q3,AI,0.0007519881308377945,-0.3657558089500946
2023-Q3,Unemployment,-6.3841116517072035e-06,-0.8040664647630694
2023-Q3,Uncertainty,-0.000280412969968666,-0.5810563560007591
2023-Q4,Inflation,-0.00019231223208783944,0.4867241252132305
2023-Q4,GDP / Growth,1.1519829949217132e-05,0.21124745206182405
2023-Q4,AI,0.0008539045155260609,-0.22733362578189872
2023-Q4,Unemployment,-1.8412034767439655e-06,0.02931373818496291
2023-Q4,Uncertainty,-0.0001906774154239563,-0.1987909307633574
2024-Q1,Inflation,-0.00016123503906689067,0.6713411984111993
2024-Q1,GDP / Growth,1.4957382841724765e-05,0.31917467607338107
2024-Q1,AI,0.001151374586748549,0.17668832625027653
2024-Q1,Unemployment,7.083362369944255e-07,0.4970176499147135
2024-Q1,Uncertainty,-0.000127268666010415,0.07132466256328124
2024-Q2,Inflation,-0.00014865092616726073,0.7460983391464137
2024-Q2,GDP / Growth,1.0525117962025849e-05,0.18001694977557123
2024-Q2,AI,0.0009800047732336746,-0.05606506064048245
2024-Q2,Unemployment,4.01695455135696e-06,1.1039718070551092
2024-Q2,Uncertainty,-0.0001695253493283192,-0.10868502367087118
2024-Q3,Inflation,-0.00015176010338179515,0.7276279709566538
2024-Q3,GDP / Growth,2.430372770680281e-05,0.6126174498969126
2024-Q3,AI,0.001044054461371728,0.03092681697006785
2024-Q3,Unemployment,-4.668703620128122e-06,-0.48938101693148783
2024-Q3,Uncertainty,-0.00012993996501105571,0.059945168074200014
2024-Q4,Inflation,-0.0001396841250687656,0.7993664889962602
