source,period_year,period_quarter,period_label,bucket,bucket_slug,raw_score,z_score
earnings_calls,2025,3,2025-Q3,Demand,demand,0.00042192200619039865,2.8333756614002334
earnings_calls,2025,3,2025-Q3,Inflation,inflation,0.00012589357757503334,-0.17796672509914913
earnings_calls,2025,3,2025-Q3,Employment,employment,1.0928187693263852e-06,-0.5806434566015587
earnings_calls,2025,3,2025-Q3,Capex,capex,0.0013620266957232,2.1869111115173303
earnings_calls,2025,3,2025-Q3,AI,ai,0.00081075898479725,-0.08567947864205101
earnings_calls,2025,4,2025-Q4,Demand,demand,0.0001501228966199587,0.7521809259276486
earnings_calls,2025,4,2025-Q4,Inflation,inflation,6.324795463196296e-06,-0.6835087913915571
earnings_calls,2025,4,2025-Q4,Employment,employment,1.1410516204517085e-05,-0.22456281400486283
earnings_calls,2025,4,2025-Q4,Capex,capex,0.0005064054439860445,-1.3526838070108274
earnings_calls,2025,4,2025-Q4,AI,ai,0.0015906826825997057,2.3394874472591076
earnings_calls,2026,1,2026-Q1,Demand,demand,7.36552939364899e-05,0.16666034644318742
earnings_calls,2026,1,2026-Q1,Inflation,inflation,0.0005155591912300053,1.469556616787695
earnings_calls,2026,1,2026-Q1,Employment,employment,6.114248698820394e-07,-0.5972571487681485
earnings_calls,2026,1,2026-Q1,Capex,capex,0.000749561088516525,-0.3467802228675902
earnings_calls,2026,1,2026-Q1,AI,ai,0.0013035541129521,1.4466632997781415
earnings_calls,2026,2,2026-Q2,Demand,demand,5.7795817672456905e-06,-0.3530712121198242
earnings_calls,2026,2,2026-Q2,Inflation,inflation,-0.0002209175190838,-1.6442992854998424
earnings_calls,2026,2,2026-Q2,Employment,employment,-3.2092638580341883e-06,-0.7291153764341566
earnings_calls,2026,2,2026-Q2,Capex,capex,,0.0
earnings_calls,2026,2,2026-Q2,AI,ai,0.0010025394624197,0.5106604872725332
