central_bank,region,period_year,period_quarter,year_quarter,sentence_count,token_count,avg_sentence_length,long_word_share,complexity_score,demand_net,pricing_net,supply_pressure_net,capex_net,inflation_net,gdp_growth_net,ai_net,unemployment_net,uncertainty_net,rates_net,financial_conditions_net,overall_net_tone,hawkish_dovish_net,demand_raw,demand_zscore,inflation_raw,inflation_zscore,employment_raw,employment_zscore,capex_raw,capex_zscore,ai_raw,ai_zscore,hawkish_dovish_raw,hawkish_dovish_zscore
BOC,Canada,2020,1,2020-Q1,128.14285714285714,2415.5714285714284,19.37854085808454,0.20521771573763972,3.9807603456606073,0.0,0.0,-4.730368968779565e-05,0.0038639325534913513,-0.004259149712383026,0.001378414463707489,9.46073793755913e-05,0.0003013435274477824,-0.001787148694051312,0.00045135197651133713,0.0,0.003966950264274772,-0.3803021978021978,0.0006892072318537445,-0.0454183103986306,-0.0014354844673569406,1.7965757015570405,0.0003013435274477824,-0.13334456315008497,0.0038639325534913513,3.2054389671151804,9.46073793755913e-05,-0.23421365333535007,-0.3803021978021978,-1.2152151934804611
BOC,Canada,2020,2,2020-Q2,167.7,3214.0,19.754334723475516,0.20522282980955095,4.0723887960172345,-3.407912121458064e-05,-0.0002621082313847655,-0.00014494524473800618,0.0004905197570278724,-0.006514798257912902,0.0004924087979742096,0.0,-5.746492232214114e-05,-0.0015323386355783602,4.51610744990466e-05,-0.00014534883720930232,0.00023251029342629962,-0.17395,0.00022916483837981445,-0.7062717665506036,-0.0023072839113452244,1.3810272169109477,-5.746492232214114e-05,-0.5964066856518894,0.0004905197570278724,-0.9442839181012528,0.0,-0.33666924086290023,-0.17395,-0.7961242943895819
BOC,Canada,2020,3,2020-Q3,101.57142857142857,2022.7142857142858,20.347168127608086,0.21314201053122314,4.353970468807042,0.0,9.341036632200938e-05,0.0,0.0006783949855977635,-0.009774916025024751,0.00030692176183382116,0.0,-0.00031946461183303773,-0.0007296710786909758,0.00041297141199746277,3.979307600477517e-05,0.0023532869966108893,-0.4047619047619047,0.00015346088091691058,-0.8150209223750376,-0.0032271685529009137,0.9425586316375459,-0.00031946461183303773,-0.93453175599938,0.0006783949855977635,-0.7131737093598051,0.0,-0.33666924086290023,-0.4047619047619047,-1.2648916238282935
BOC,Canada,2020,4,2020-Q4,128.3,2304.8,19.153764830086367,0.20330723794041622,3.927508074475784,-7.94912559618442e-05,2.5726781579624392e-05,-5.534034311012728e-05,0.0012063520561642093,-0.005924822980493476,0.0007578023670734157,5.105651393111602e-05,-0.00021206106818695805,-0.0008796615750181633,3.325573661456601e-05,7.528955034941619e-06,0.0033476149494315577,-0.6365000000000001,0.0003391555555557858,-0.5482694897571847,-0.0019848121806746596,1.534735320242976,-0.00021206106818695805,-0.7959215507022089,0.0012063520561642093,-0.06371997501747546,5.105651393111602e-05,-0.2813773052184948,-0.6365000000000001,-1.7355399993790908
BOC,Canada,2021,1,2021-Q1,134.57142857142858,2530.4285714285716,19.680805432746997,0.20692998003190197,4.096598346035167,0.0,-7.47436610900228e-05,0.0,0.0008611238609407309,-0.005563883841213541,0.001165871167872053,0.00026350461133069827,-0.00039850959449299814,-0.0014054534507692497,0.0002463054187192118,3.290123050602092e-05,0.006831171522657791,-0.4798185941043084,0.0005829355839360265,-0.19807812352380813,-0.0018795425007678546,1.584912750689972,-0.00039850959449299814,-1.036543672015043,0.0008611238609407309,-0.48839416367375377,0.00026350461133069827,-0.0513054568928857,-0.4798185941043084,-1.4173279717534317
BOC,Canada,2021,2,2021-Q2,94.75,1504.25,19.023845381526105,0.21817172028541026,4.188559868002378,0.0,0.00018328445747800586,0.0,0.001135140019918554,-0.009436680726364749,0.0009881738678545774,0.0,-0.000699434788053053,-0.001387560794306049,0.0004409171075837742,0.0,0.009539520085133209,-0.4325520833333334,0.0004940869339272887,-0.3257097032774222,-0.003084465422962248,1.0105789427414196,-0.000699434788053053,-1.4249042553110547,0.001135140019918554,-0.15131975433332334,0.0,-0.33666924086290023,-0.4325520833333334,-1.3213320739298242
BOC,Canada,2021,3,2021-Q3,65.25,1289.0,20.363356183866195,0.2198910875388159,4.480525420982475,0.0,0.0,-0.004940251536563881,0.0012206502613378856,-0.010545775893342458,0.0008666258428706167,0.0,0.0,-0.0024933586511699693,0.0009514133288643093,9.502090459901178e-05,0.008368119940422124,-0.16443181818181818,0.00043331292143530836,-0.4130119101376784,-0.005162009143302113,0.02030514671358103,0.0,-0.5222450294340526,0.0012206502613378856,-0.046131380674996274,0.0,-0.33666924086290023,-0.16443181818181818,-0.7767933475017956
BOC,Canada,2021,4,2021-Q4,101.85714285714286,1921.7142857142858,19.431237737162736,0.21231680919116577,4.11934408758431,0.0002520574479372679,8.173380261317292e-05,-0.004821846620626287,0.0007217735512218921,-0.010871793763427397,0.0006633422005493953,5.213764337851929e-05,0.0004938645429479314,-0.0008876887018325711,0.00043318633150906966,-4.9897709695124994e-05,0.004366496856075913,0.33013392857142854,0.00045769982424333157,-0.3779799886579514,-0.00520396886048017,0.00030479341012696763,0.0004938645429479314,0.11511444086965406,0.0007217735512218921,-0.6598126067141336,5.213764337851929e-05,-0.28020649007217,0.33013392857142854,0.2276447233010669
BOC,Canada,2022,1,2022-Q1,102.0,1869.2857142857142,18.617169226446702,0.20462873390990013,3.8201884167969324,0.00046051504261768655,0.0001327181429052907,-0.0023006994194019396,0.0017351507446332248,-0.014851581659056602,0.0018765476713533617,4.95000495000495e-05,-0.00013042254321670748,-0.0021289972684045214,0.0003739715781600599,4.507956543298923e-05,0.00733073708874997,0.9257675438596492,0.001168531356985524,0.6431334604900839,-0.005673187645184416,-0.2233511819359079,-0.00013042254321670748,-0.6905625250859464,0.0017351507446332248,0.5867690554127101,4.95000495000495e-05,-0.2830628870283192,0.9257675438596492,1.4373465341786662
BOC,Canada,2022,2,2022-Q2,107.1,1937.1,18.00721591439831,0.19729621371165446,3.5736580832721585,8.257638315441784e-05,0.00010942833500805124,-0.0008717760295312037,0.0012547405840534636,-0.015891472588782204,0.00016616745413132114,0.0,0.0007637750168317415,-0.0014506623334981645,-0.0008941736776904349,0.0,0.005640987124643271,0.81275,0.00012437191864286948,-0.8568073784220797,-0.005551273427768452,-0.1652400318848661,0.0007637750168317415,0.4634488153868887,0.0012547405840534636,-0.004195987388543642,0.0,-0.33666924086290023,0.81275,1.2078136066225207
